_Years,_Months,_Residence,1-12Years_Male,1-12Years_Female,13-19Years_Male,13-19Years_Female,20-29Years_Male,20-29Years_Female,30-39Years_Male,30-39Years_Female,40-49Years_Male,40-49Years_Female,50-59Years_Male,50-59Years_Female,60Years and Over_Male,60Years and Over_Female,REGION
113,11,全部,26964,27479,6518,7640,70259,103254,122344,144242,115279,125981,104516,129183,137810,153482,亞洲地區(Asia)
113,11,日本(Japan),14304,14150,2405,2771,30094,41309,52099,61738,36798,47893,28797,49978,41002,59358,亞洲地區(Asia)
113,11,韓國(Korea),2235,2658,729,1336,6364,17395,9591,20923,6718,15883,4770,11519,5611,10647,亞洲地區(Asia)
113,11,香港(Hong Kong),2047,2411,574,668,6328,10644,9589,12280,10333,8970,8599,7479,8941,7677,亞洲地區(Asia)
113,11,中國大陸(China),2459,2418,1174,1124,8248,10116,16084,13869,26570,18535,30992,26119,44387,36471,亞洲地區(Asia)
113,11,澳門(Macao),888,918,300,341,1936,2827,3657,3951,4734,4027,5000,4002,5418,4072,亞洲地區(Asia)
113,11,越南(Vietnam),2108,2123,457,491,4312,4848,9575,8385,11926,11983,11562,11963,14913,15812,亞洲地區(Asia)
113,11,泰國(Thailand),1587,1477,452,473,7729,9458,11724,12555,9069,9436,6861,8180,7400,7921,亞洲地區(Asia)
113,11,馬來西亞(Malaysia),355,344,151,138,1057,1339,2008,2025,1931,1995,1835,2242,2707,3147,亞洲地區(Asia)
113,11,新加坡(Singapore),426,423,98,132,1086,1866,2241,2867,2166,2170,1785,2010,1837,2071,亞洲地區(Asia)
113,11,菲律賓(Philippines),230,204,63,67,1094,1258,2095,1743,1794,1138,1246,870,1141,754,亞洲地區(Asia)
113,11,全部,1,1,0,0,0,2,6,4,2,2,0,3,0,1,非洲地區(Africa)
113,11,埃及(Egypt),1,1,0,0,0,1,6,4,1,1,0,0,0,0,非洲地區(Africa)
113,11,美洲地區(Americas),483,509,153,184,1706,1922,3393,3567,3827,3347,3407,4025,7380,9133,非洲地區(Africa)
113,11,美國(USA),413,439,132,154,1523,1651,3085,3128,3503,3017,3131,3534,6664,8268,非洲地區(Africa)
113,11,加拿大(Canada),70,70,21,30,183,271,306,439,323,327,276,491,715,863,非洲地區(Africa)
113,11,全部,223,256,39,55,784,1385,1150,1784,905,1132,850,1506,1950,2552,大洋洲地區(Oceania)
113,11,澳洲(Australia),180,210,37,47,646,1177,752,1298,673,821,578,1008,1260,1555,大洋洲地區(Oceania)
113,11,紐西蘭(New Zealand),35,35,1,5,74,134,189,279,112,192,176,416,627,958,大洋洲地區(Oceania)
113,11,全部,171,198,103,138,1091,1728,2490,3328,2430,3119,2335,3682,2604,3320,歐洲地區(Europe)
113,11,比利時(Belgium),0,0,0,0,0,0,1,0,0,0,1,3,0,0,歐洲地區(Europe)
113,11,法國(France),27,40,25,46,183,306,397,618,395,583,375,588,470,565,歐洲地區(Europe)
113,11,德國(Germany),42,34,17,17,247,374,695,750,817,733,652,765,602,678,歐洲地區(Europe)
113,11,義大利(Italy),16,25,13,10,181,233,405,507,348,495,378,705,532,726,歐洲地區(Europe)
113,11,荷蘭(Netherlands),28,26,16,17,140,211,336,406,311,312,251,285,214,212,歐洲地區(Europe)
113,11,英國(U.K.),21,22,21,28,138,239,169,298,124,179,104,207,91,140,歐洲地區(Europe)
113,11,西班牙(Spain),1,0,0,0,1,0,0,3,1,3,1,4,2,0,歐洲地區(Europe)
113,11,瑞典(Sweden),0,0,0,0,0,1,1,0,0,0,0,0,0,1,歐洲地區(Europe)
113,11,瑞士(Switzerland),0,0,0,0,0,1,2,0,0,0,0,1,0,0,歐洲地區(Europe)
113,11,挪威(Norway),0,0,0,0,0,0,1,2,0,0,0,0,0,0,歐洲地區(Europe)
113,11,全部,78,82,7,5,75,57,99,96,117,122,65,138,217,335,其他未列明(Unknow)
